date,season,location,time,reef_zone,lat,lon,reef_name,reef,Fistularia commersonii,fish,abundance,size,visibility,temp,comments,Distribution,a,b,first_maturity, reef_fidelity,comments
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,25,7,19,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,1,18,7,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,4,12,7,19,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,300,18,7,19,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,200,12,7,19,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
28/12/2017,winter,sdot_yam,09:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,7,19,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
28/12/2017,winter,sdot_yam,09:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,1,12,7,19,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
01/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Balistes capriscus,1,1,25,,18,,Eastern Atlantic - Mediterranean, 0.0209, 2.94,NA,Resident ,Species showing high reef-fidelity
01/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,2,20,,18,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
01/01/2018,winter,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Fistularia commersonii,1,1,70,,18,,Indo-Pacific,0.0112,2.54,68.2,Transient ,species showing low reef- fidelity
01/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Sargocentron rubrum,1,1,8,,18,,Indo-Pacific,0.01801,3.015,NA,Resident ,Species showing high reef-fidelity
01/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,,18,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
01/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,3,20,,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
01/01/2018,winter,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,15,,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
10/01/2018,winter,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,200,12,,18,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
10/01/2018,winter,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Parupeneus forskalii,1,1,7,,18,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
10/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,1,20,,18,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
10/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,,18,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
10/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,8,,18,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
10/01/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,3,10,,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
10/01/2018,winter,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,17,,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Balistes capriscus,1,2,20,13,18,,Eastern Atlantic - Mediterranean, 0.0209, 2.94,NA,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,30,13,18,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Fistularia commersonii,1,2,20,13,18,,Indo-Pacific,0.0112,2.54,68.2,Transient ,species showing low reef- fidelity
07/02/2018,winter,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Fistularia commersonii,1,1,30,13,18,,Indo-Pacific,0.0112,2.54,68.2,Transient ,species showing low reef- fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,1,20,13,18,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Plotosus lineatus,1,20,20,13,18,,Indo-Pacific,0.0081,3.12,14,Transient ,species showing low reef- fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,12,13,18,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,2,25,13,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,3,12,13,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,3,12,13,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
07/02/2018,winter,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Stephanolepis diaspros,1,1,15,13,18,,Indo-Pacific,0.0162,3.03,NA,Resident ,Species showing high reef-fidelity
07/02/2018,winter,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,15,13,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Balistes capriscus,1,1,20,6.2,18,,Eastern Atlantic - Mediterranean, 0.0209, 2.94,NA,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,20,17,6.2,18,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,100,17,6.2,18,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,20,20,6.2,18,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,7,20,6.2,18,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,2,15,6.2,18,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,30,6.2,18,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,sand,32.492550,34.877280,True,True ,Fistularia commersonii,1,2,20,6.2,18,,Indo-Pacific,0.0112,2.54,68.2,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,sand,32.492550,34.877280,True,True ,Fistularia commersonii,1,1,30,6.2,18,,Indo-Pacific,0.0112,2.54,68.2,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,2,20,6.2,18,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,17,6.2,18,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,5,15,6.2,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,6,12,6.2,18,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,sparus aurata,1,1,20,6.2,18,,Eastern Atlantic - Mediterranean,0.0145,3,20,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,20,17,6.2,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,100,17,6.2,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
02/03/2018,Spring,sdot_yam,12:00,bloks,32.492550,34.877280,True,True ,Stephanolepis diaspros,1,2,12,6.2,18,,Indo-Pacific,0.0162,3.03,NA,Resident ,Species showing high reef-fidelity
02/03/2018,Spring,sdot_yam,12:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,17,6.2,18,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
05/03/2018,Spring,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Boops boops,1,150,15,16,19,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Cheilodipterus novemstriatus,1,1,8,16,19,,Indo-Pacific,NA,NA,NA,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,2,20,16,19,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,11,15,16,19,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus vulgaris,1,1,12,16,19,,Eastern Atlantic - Mediterranean,0.0126,3.11,15.75,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,30,16,19,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Gobius bucchichi,1,1,12,16,19,,Eastern Atlantic - Mediterranean,NA,NA,3.4,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,sand,32.492550,34.877280,True,True ,Mullus surmuletus,1,1,25,16,19,,Eastern Atlantic - Mediterranean,0.0081,3.16,15.1,Transient ,species showing low reef- fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,24,15,16,19,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Spicara smaris,1,10,15,16,19,,Eastern Atlantic - Mediterranean,0.0105,2.97,8.9,Transient ,species showing low reef- fidelity
05/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Stephanolepis diaspros,1,2,15,16,19,,Indo-Pacific,0.0162,3.03,NA,Resident ,Species showing high reef-fidelity
05/03/2018,Spring,sdot_yam,10:00,water_column,32.492550,34.877280,True,True ,Trachrus sp.,1,1500,12,16,19,,Eastern Atlantic - Mediterranean,0.0105,2.97,20,Occasional, high-mobility species
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Balistes capriscus,1,2,25,17,19,,Eastern Atlantic - Mediterranean, 0.0209, 2.94,NA,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Boops boops,1,1,17,17,19,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Boops boops,1,2000,15,17,19,,Eastern Atlantic - Mediterranean,0.011,2.9293,12.75,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Cheilodipterus novemstriatus,1,1,5,17,19,,Indo-Pacific,NA,NA,NA,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus sargus,1,5,25,17,19,,Eastern Atlantic - Mediterranean,0.0151,3.06,18,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Diplodus vulgaris,1,1,15,17,19,,Eastern Atlantic - Mediterranean,0.0126,3.11,15.75,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Epinephelus aeneus,1,1,30,17,19,,Eastern Atlantic - Mediterranean,0.0081,3.11,50,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Hypleurochilus bananensis,1,1,10,17,19,,Eastern Atlantic - Mediterranean,NA,NA,NA,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:30,sand,32.494633,34.877960,Medussa,AR - 1,Mullus surmuletus,1,8,4,17,19,,Eastern Atlantic - Mediterranean,0.0081,3.16,15.1,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,1,10,17,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,1,12,17,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Pagrus coeruleostictus,1,10,20,17,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,11:00,bloks,32.499030,34.880200,Sirenna,AR - 2,Pagrus coeruleostictus,1,2,5,17,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,12:00,bloks,32.500896,34.880688,Tetis,AR - 4,Pagrus coeruleostictus,1,10,10,17,19,,Eastern Atlantic - Mediterranean,0.0257,2.9,19.05,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Parupeneus forskalii,1,2,17,17,19,,Indo-Pacific,NA,NA,NA,Transient ,species showing low reef- fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Serranus cabrilla ,1,1,17,17,19,,Eastern Atlantic - Mediterranean, 0.0174,2.85,10,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,10,15,17,19,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
18/03/2018,Spring,sdot_yam,10:00,bloks,32.492550,34.877280,True,True ,Siganus rivulatus,1,3,25,17,19,,Indo-Pacific,0.0123,2.98,13.5,Resident ,Species showing high reef-fidelity
