serial,species,date,location,depth,length,weight,water temp,TP
sy66,Siganus rivulatus,17/07/2017,sdot yam,2,14.5,0.0361,30,2.570805259
sy66,Siganus rivulatus,16/07/2017,sdot yam,2,13,0.0266,30,2.560715904
sy67,Siganus rivulatus,16/07/2017,sdot yam,2,12,0.0206,30,2.320990871
sy68,siganus luridus,01/09/2017,sdot yam,2,14,0.0455,29,2.062321187
sy69,siganus luridus,01/09/2017,sdot yam,2,16,0.0606,29,2.040705604
sy70,siganus luridus,01/09/2017,sdot yam,2,11,0.025,29,1.51074593
SY72,Epinephelus marginatus,21/06/2018,Neva yam,3,16,0.06,28,3.369663385
SY73,Epinephelus marginatus,26/06/2018,Sdot-Yam,5,18.5,0.085,28,3.61180148
SY74,Epinephelus marginatus,26/06/2018,Sdot-Yam,5,18,0.095,28,3.889348389
SY75,Epinephelus marginatus,23/08/2018,Haifa,2,14,0.047,30,2.546038385
SY77,Epinephelus marginatus,15/09/2018,Sdot-Yam,5,8.5,0.012,30,2.854728171
SY78,Epinephelus marginatus,15/09/2018,Sdot-Yam,5,7.5,0.009,30,3.770392461
SY79,Epinephelus marginatus,15/09/2018,Sdot-Yam,5,8,0.007,30,2.598091533
SY80,Epinephelus marginatus,20/09/2018,Sdot-Yam,5,9,0.012,29,3.360199112
SY82,Epinephelus marginatus,20/09/2018,Sdot-Yam,5,23,0.18,29,3.020509957
SY83,Mycteroperca rubra,20/09/2018,Sdot-Yam,5,23,0.149,29,3.341865969
